2025-02-26 22:24:17 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-02-26 22:24:17 [Test worker] WARN  o.s.b.t.j.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer - 

Found multiple occurrences of org.json.JSONObject on the class path:

	jar:file:/Users/angeloszaimis/.gradle/caches/modules-2/files-2.1/org.json/json/20231013/e22e0c040fe16f04ffdb85d851d77b07fc05ea52/json-20231013.jar!/org/json/JSONObject.class
	jar:file:/Users/angeloszaimis/.gradle/caches/modules-2/files-2.1/com.vaadin.external.google/android-json/0.0.20131108.vaadin1/fa26d351fe62a6a17f5cda1287c1c6110dec413f/android-json-0.0.20131108.vaadin1.jar!/org/json/JSONObject.class

You may wish to exclude one of them to ensure predictable runtime behavior

2025-02-26 22:24:17 [Test worker] INFO  c.m.m.MiddlewareInventoryApplicationTests - Starting MiddlewareInventoryApplicationTests using Java 17.0.13 with PID 11749 (started by angeloszaimis in /Users/angeloszaimis/Downloads/middlleware-inventory)
2025-02-26 22:24:17 [Test worker] INFO  c.m.m.MiddlewareInventoryApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-02-26 22:24:18 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-02-26 22:24:18 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14 ms. Found 0 JPA repository interfaces.
2025-02-26 22:24:20 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-02-26 22:24:20 [Test worker] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@15913e21
2025-02-26 22:24:20 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-02-26 22:24:20 [Test worker] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5010/datasource_inventorydb (PostgreSQL 16.8)
2025-02-26 22:24:21 [Test worker] INFO  o.f.core.internal.command.DbValidate - Successfully validated 0 migrations (execution time 00:00.016s)
2025-02-26 22:24:21 [Test worker] WARN  o.f.core.internal.command.DbValidate - No migrations found. Are your locations set up correctly?
2025-02-26 22:24:21 [Test worker] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": << Empty Schema >>
2025-02-26 22:24:21 [Test worker] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
2025-02-26 22:24:21 [Test worker] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-02-26 22:24:21 [Test worker] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2025-02-26 22:24:21 [Test worker] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-02-26 22:24:21 [Test worker] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-02-26 22:24:22 [Test worker] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-02-26 22:24:22 [Test worker] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-02-26 22:24:22 [Test worker] INFO  c.b.p.i.CriteriaBuilderConfigurationProviderImpl - Blaze-Persistence version: Blaze-Persistence 'Lockjaw' 1.6.12
2025-02-26 22:24:22 [Test worker] WARN  c.b.annotation.AnnotationUtils - Stereotype annotation can not be found, skipping annotation inheritance via stereotype.
2025-02-26 22:24:23 [Test worker] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-02-26 22:24:24 [Test worker] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-02-26 22:24:25 [Test worker] INFO  c.m.m.MiddlewareInventoryApplicationTests - Started MiddlewareInventoryApplicationTests in 8.271 seconds (process running for 9.526)
2025-02-26 22:24:25 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-02-26 22:24:25 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-02-26 22:24:25 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-02-26 22:31:49 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-02-26 22:31:49 [restartedMain] INFO  c.m.m.MiddlewareInventoryApplication - Starting MiddlewareInventoryApplication using Java 17.0.13 with PID 11978 (/Users/angeloszaimis/Downloads/middlleware-inventory/build/classes/java/main started by angeloszaimis in /Users/angeloszaimis/Downloads/middlleware-inventory)
2025-02-26 22:31:49 [restartedMain] INFO  c.m.m.MiddlewareInventoryApplication - The following 1 profile is active: "local"
2025-02-26 22:31:49 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-02-26 22:31:49 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-02-26 22:31:49 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-02-26 22:31:49 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 JPA repository interfaces.
2025-02-26 22:31:50 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8082 (http)
2025-02-26 22:31:50 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
